"organism","number"
"Pseudomonas moraviensis","Multiple"
"Pseudomonas moraviensis R28-S","Multiple"
"Pseudomonas moraviensis R28-S","Multiple"
"Pseudomonas mosselii","Multiple"
"Pseudomonas mosselii","Multiple"
"Pseudomonas parafulva","Multiple"
"Pseudomonas parafulva","Multiple"
"Pseudomonas prosekii","Multiple"
"Pseudomonas prosekii","Multiple"
"Pseudomonas proteolytica","Multiple"
"Pseudomonas proteolytica","Multiple"
"Pseudomonas putida W619","Multiple"
"Pseudomonas putida W619","Multiple"
"Pseudomonas reidholzensis","Multiple"
"Pseudomonas reidholzensis","Multiple"
"Pseudomonas resinovorans NBRC 106553","Multiple"
"Pseudomonas resinovorans NBRC 106553","Multiple"
"Pseudomonas soli","Multiple"
"Pseudomonas soli","Multiple"
"Pseudomonas sp.","Multiple"
"Pseudomonas sp.","Multiple"
"Pseudomonas sp. 09C 129","Multiple"
"Pseudomonas sp. 09C 129","Multiple"
"Pseudomonas sp. 2848","Multiple"
"Pseudomonas sp. 2848","Multiple"
"Pseudomonas sp. 31-12","Multiple"
"Pseudomonas sp. 31-12","Multiple"
"Pseudomonas sp. 382","Multiple"
"Pseudomonas sp. 382","Multiple"
"Pseudomonas sp. 424","Multiple"
"Pseudomonas sp. 424","Multiple"
"Pseudomonas sp. 443","Multiple"
"Pseudomonas sp. 443","Multiple"
"Pseudomonas sp. 655","Multiple"
"Pseudomonas sp. 655","Multiple"
"Pseudomonas sp. 7SR1","Multiple"
"Pseudomonas sp. 7SR1","Multiple"
"Pseudomonas sp. 91RF","Multiple"
"Pseudomonas sp. 91RF","Multiple"
"Pseudomonas sp. A214","Multiple"
"Pseudomonas sp. A214","Multiple"
"Pseudomonas sp. ADP","Multiple"
"Pseudomonas sp. ADP","Multiple"
"Pseudomonas sp. ATCC 13867","Multiple"
"Pseudomonas sp. ATCC 13867","Multiple"
"Pseudomonas sp. B10","Multiple"
"Pseudomonas sp. B10","Multiple"
"Pseudomonas sp. CCOS 191","Multiple"
"Pseudomonas sp. CCOS 191","Multiple"
"Pseudomonas sp. DR 5-09","Multiple"
"Pseudomonas sp. DR 5-09","Multiple"
"Pseudomonas sp. DTU12.3","Multiple"
"Pseudomonas sp. DTU12.3","Multiple"
"Pseudomonas sp. FeS53a","Multiple"
"Pseudomonas sp. FeS53a","Multiple"
"Pseudomonas sp. FW104-15G4B","Multiple"
"Pseudomonas sp. FW104-15G4B","Multiple"
"Pseudomonas sp. FW215-L1","Multiple"
"Pseudomonas sp. FW215-L1","Multiple"
"Pseudomonas sp. FW215-R2","Multiple"
"Pseudomonas sp. FW215-R2","Multiple"
"Pseudomonas sp. FW305-3-2-15-A-R2A1","Multiple"
"Pseudomonas sp. FW305-3-2-15-A-R2A1","Multiple"
"Pseudomonas sp. FW305-BF8","Multiple"
"Pseudomonas sp. FW305-BF8","Multiple"
"Pseudomonas sp. FW306-07-L","Multiple"
"Pseudomonas sp. FW306-07-L","Multiple"
"Pseudomonas sp. FW306-1C-G01A","Multiple"
"Pseudomonas sp. FW306-1C-G01A","Multiple"
"Pseudomonas sp. FW306-2-1A-C05A","Multiple"
"Pseudomonas sp. FW306-2-1A-C05A","Multiple"
"Pseudomonas sp. FW306-2-2C-B10A","Multiple"
"Pseudomonas sp. FW306-2-2C-B10A","Multiple"
"Pseudomonas sp. FW306-2-2C-D06C","Multiple"
"Pseudomonas sp. FW306-2-2C-D06C","Multiple"
"Pseudomonas sp. GM17","Multiple"
"Pseudomonas sp. GM17","Multiple"
"Pseudomonas sp. GM41(2012)","Multiple"
"Pseudomonas sp. GM41(2012)","Multiple"
"Pseudomonas sp. GR 6-02","Multiple"
"Pseudomonas sp. GR 6-02","Multiple"
"Pseudomonas sp. GV034","Multiple"
"Pseudomonas sp. GV034","Multiple"
"Pseudomonas sp. GV054","Multiple"
"Pseudomonas sp. GV054","Multiple"
"Pseudomonas sp. GV071","Multiple"
"Pseudomonas sp. GV071","Multiple"
"Pseudomonas sp. GW101-1A09","Multiple"
"Pseudomonas sp. GW101-1A09","Multiple"
"Pseudomonas sp. GW101-20A5","Multiple"
"Pseudomonas sp. GW101-20A5","Multiple"
"Pseudomonas sp. GW101-3F01","Multiple"
"Pseudomonas sp. GW101-3F01","Multiple"
"Pseudomonas sp. GW456-11-11-14-LB2","Multiple"
"Pseudomonas sp. GW456-11-11-14-LB2","Multiple"
"Pseudomonas sp. GW456-12-1-14-LB2","Multiple"
"Pseudomonas sp. GW456-12-1-14-LB2","Multiple"
"Pseudomonas sp. GW456-12-10-14-LB1","Multiple"
"Pseudomonas sp. GW456-12-10-14-LB1","Multiple"
"Pseudomonas sp. GW456-12-10-14-LB2","Multiple"
"Pseudomonas sp. GW456-12-10-14-LB2","Multiple"
"Pseudomonas sp. GW456-12-10-14-LB3","Multiple"
"Pseudomonas sp. GW456-12-10-14-LB3","Multiple"
"Pseudomonas sp. GW456-E6","Multiple"
"Pseudomonas sp. GW456-E6","Multiple"
"Pseudomonas sp. GW456-L14","Multiple"
"Pseudomonas sp. GW456-L14","Multiple"
"Pseudomonas sp. GW460-11-11-14-LB11","Multiple"
"Pseudomonas sp. GW460-11-11-14-LB11","Multiple"
"Pseudomonas sp. GW460-12-1-14-LB3","Multiple"
"Pseudomonas sp. GW460-12-1-14-LB3","Multiple"
"Pseudomonas sp. GW460-13","Multiple"
"Pseudomonas sp. GW460-13","Multiple"
"Pseudomonas sp. GW460-7","Multiple"
"Pseudomonas sp. GW460-7","Multiple"
"Pseudomonas sp. GW460-8","Multiple"
"Pseudomonas sp. GW460-8","Multiple"
"Pseudomonas sp. GW460-C2","Multiple"
"Pseudomonas sp. GW460-C2","Multiple"
"Pseudomonas sp. GW460-C3","Multiple"
"Pseudomonas sp. GW460-C3","Multiple"
"Pseudomonas sp. GW460-C8","Multiple"
"Pseudomonas sp. GW460-C8","Multiple"
"Pseudomonas sp. K1S02-6","Multiple"
"Pseudomonas sp. K1S02-6","Multiple"
"Pseudomonas sp. K1S02-6","Multiple"
"Pseudomonas sp. K2W31S-8","Multiple"
"Pseudomonas sp. K2W31S-8","Multiple"
"Pseudomonas sp. M1","Multiple"
"Pseudomonas sp. M1","Multiple"
"Pseudomonas sp. M7D1","Multiple"
"Pseudomonas sp. M7D1","Multiple"
"Pseudomonas sp. MPR-AND1A","Multiple"
"Pseudomonas sp. MPR-AND1A","Multiple"
"Pseudomonas sp. MPR-E5","Multiple"
"Pseudomonas sp. MPR-E5","Multiple"
"Pseudomonas sp. MPR-R2A2","Multiple"
"Pseudomonas sp. MPR-R2A2","Multiple"
"Pseudomonas sp. MPR-TSA4","Multiple"
"Pseudomonas sp. MPR-TSA4","Multiple"
"Pseudomonas sp. MRSN12121","Multiple"
"Pseudomonas sp. MRSN12121","Multiple"
"Pseudomonas sp. MYb2","Multiple"
"Pseudomonas sp. MYb2","Multiple"
"Pseudomonas sp. MYb3","Multiple"
"Pseudomonas sp. MYb3","Multiple"
"Pseudomonas sp. NFACC11-2","Multiple"
"Pseudomonas sp. NFACC11-2","Multiple"
"Pseudomonas sp. NFACC41-3","Multiple"
"Pseudomonas sp. NFACC41-3","Multiple"
"Pseudomonas sp. NFIX51","Multiple"
"Pseudomonas sp. NFIX51","Multiple"
"Pseudomonas sp. NFPP07","Multiple"
"Pseudomonas sp. NFPP07","Multiple"
"Pseudomonas sp. PI1","Multiple"
"Pseudomonas sp. PI1","Multiple"
"Pseudomonas sp. PONIH3","Multiple"
"Pseudomonas sp. PONIH3","Multiple"
"Pseudomonas sp. RIT-PI-r","Multiple"
"Pseudomonas sp. RIT-PI-r","Multiple"
"Pseudomonas sp. RU47","Multiple"
"Pseudomonas sp. RU47","Multiple"
"Pseudomonas sp. SNU WT1","Multiple"
"Pseudomonas sp. SNU WT1","Multiple"
"Pseudomonas sp. SWI44","Multiple"
"Pseudomonas sp. SWI44","Multiple"
"Pseudomonas sp. SWI6","Multiple"
"Pseudomonas sp. SWI6","Multiple"
"Pseudomonas sp. TCU-HL1","Multiple"
"Pseudomonas sp. TCU-HL1","Multiple"
"Pseudomonas sp. UC 17F4","Multiple"
"Pseudomonas sp. UC 17F4","Multiple"
"Pseudomonas sp. VLB120","Multiple"
"Pseudomonas sp. VLB120","Multiple"
"Pseudomonas sp. Z003-0.4C(8344-21)","Multiple"
"Pseudomonas sp. Z003-0.4C(8344-21)","Multiple"
"Pseudomonas syringae","Multiple"
"Pseudomonas syringae","Multiple"
"Pseudomonas wadenswilerensis","Multiple"
"Pseudomonas wadenswilerensis","Multiple"
"Pseudomonas alcaligenes OT 69","One"
"Pseudomonas alcaliphila","One"
"Pseudomonas alcaliphila JAB1","One"
"Pseudomonas antarctica","One"
"Pseudomonas argentinensis","One"
"Pseudomonas borbori","One"
"Pseudomonas chengduensis","One"
"Pseudomonas chlororaphis subsp. aurantiaca PB-St2","One"
"Pseudomonas coleopterorum","One"
"Pseudomonas composti","One"
"Pseudomonas costantinii","One"
"Pseudomonas cuatrocienegasensis","One"
"Pseudomonas delhiensis","One"
"Pseudomonas entomophila","One"
"Pseudomonas extremaustralis","One"
"Pseudomonas fluorescens A506","One"
"Pseudomonas fluorescens NCIMB 11764","One"
"Pseudomonas fluorescens Q2-87","One"
"Pseudomonas frederiksbergensis","One"
"Pseudomonas fulva 12-X","One"
"Pseudomonas graminis","One"
"Pseudomonas guineae","One"
"Pseudomonas hussainii","One"
"Pseudomonas jilinensis","One"
"Pseudomonas jinjuensis","One"
"Pseudomonas kuykendallii","One"
"Pseudomonas laurylsulfatiphila","One"
"Pseudomonas lini","One"
"Pseudomonas lutea","One"
"Pseudomonas mandelii","One"
"Pseudomonas mandelii JR-1","One"
"Pseudomonas marincola","One"
"Pseudomonas mediterranea CFBP 5447","One"
"Pseudomonas mendocina S5.2","One"
"Pseudomonas migulae","One"
"Pseudomonas mohnii","One"
"Pseudomonas monteilii SB3078","One"
"Pseudomonas monteilii SB3101","One"
"Pseudomonas mucidolens","One"
"Pseudomonas nitroreducens","One"
"Pseudomonas orientalis","One"
"Pseudomonas oryzae","One"
"Pseudomonas otitidis","One"
"Pseudomonas palleroniana","One"
"Pseudomonas panacis","One"
"Pseudomonas pohangensis","One"
"Pseudomonas protegens","One"
"Pseudomonas protegens Cab57","One"
"Pseudomonas protegens CHA0","One"
"Pseudomonas protegens Pf-5","One"
"Pseudomonas putida","One"
"Pseudomonas putida B6-2","One"
"Pseudomonas putida BIRD-1","One"
"Pseudomonas putida CSV86","One"
"Pseudomonas putida F1","One"
"Pseudomonas putida GB-1","One"
"Pseudomonas putida HB3267","One"
"Pseudomonas putida KG-4","One"
"Pseudomonas putida KT2440","One"
"Pseudomonas putida NBRC 14164","One"
"Pseudomonas putida S13.1.2","One"
"Pseudomonas putida S16","One"
"Pseudomonas putida SJTE-1","One"
"Pseudomonas sagittaria","One"
"Pseudomonas saponiphila","One"
"Pseudomonas sediminis","One"
"Pseudomonas segetis","One"
"Pseudomonas sihuiensis","One"
"Pseudomonas songnenensis","One"
"Pseudomonas sp. 02C 26","One"
"Pseudomonas sp. 1033","One"
"Pseudomonas sp. 11K1","One"
"Pseudomonas sp. 1239","One"
"Pseudomonas sp. 1D4","One"
"Pseudomonas sp. 21","One"
"Pseudomonas sp. 21C1","One"
"Pseudomonas sp. 250J","One"
"Pseudomonas sp. 43NM1","One"
"Pseudomonas sp. 460","One"
"Pseudomonas sp. 478","One"
"Pseudomonas sp. 57B-090624","One"
"Pseudomonas sp. A-1","One"
"Pseudomonas sp. A46","One"
"Pseudomonas sp. ACN5","One"
"Pseudomonas sp. AOB-7","One"
"Pseudomonas sp. AP19","One"
"Pseudomonas sp. ATCC PTA-122608","One"
"Pseudomonas sp. B1(2018)","One"
"Pseudomonas sp. BBP2017","One"
"Pseudomonas sp. Bc-h","One"
"Pseudomonas sp. BGI-2","One"
"Pseudomonas sp. bs2935","One"
"Pseudomonas sp. C9","One"
"Pseudomonas sp. CH235","One"
"Pseudomonas sp. Choline-02u-1","One"
"Pseudomonas sp. CMR12a","One"
"Pseudomonas sp. CMR5c","One"
"Pseudomonas sp. CO183","One"
"Pseudomonas sp. DP16D-E2","One"
"Pseudomonas sp. DY-1","One"
"Pseudomonas sp. Ea RS28","One"
"Pseudomonas sp. EGD-AKN5","One"
"Pseudomonas sp. Ep R1","One"
"Pseudomonas sp. ES3-33","One"
"Pseudomonas sp. FDAARGOS_380","One"
"Pseudomonas sp. FFUP_PS_473","One"
"Pseudomonas sp. FGI182","One"
"Pseudomonas sp. FSL W5-0299","One"
"Pseudomonas sp. FW104-R4","One"
"Pseudomonas sp. FW126-L8","One"
"Pseudomonas sp. FW215-E1","One"
"Pseudomonas sp. FW215-R4","One"
"Pseudomonas sp. FW300-E2","One"
"Pseudomonas sp. FW303-C2","One"
"Pseudomonas sp. FW305-124","One"
"Pseudomonas sp. FW305-127","One"
"Pseudomonas sp. FW305-17","One"
"Pseudomonas sp. FW305-20","One"
"Pseudomonas sp. FW305-25","One"
"Pseudomonas sp. FW305-42","One"
"Pseudomonas sp. FW305-47B","One"
"Pseudomonas sp. FW305-53","One"
"Pseudomonas sp. FW305-62","One"
"Pseudomonas sp. FW305-67","One"
"Pseudomonas sp. FW305-BF15","One"
"Pseudomonas sp. FW305-BF6","One"
"Pseudomonas sp. FW306-2-2C-A10BC","One"
"Pseudomonas sp. FW507-12TSA","One"
"Pseudomonas sp. FW507-14D01","One"
"Pseudomonas sp. FW507-29LB","One"
"Pseudomonas sp. G5(2012)","One"
"Pseudomonas sp. GM102","One"
"Pseudomonas sp. GM18","One"
"Pseudomonas sp. GM79","One"
"Pseudomonas sp. GV012","One"
"Pseudomonas sp. GV021","One"
"Pseudomonas sp. GV041","One"
"Pseudomonas sp. GV077","One"
"Pseudomonas sp. GV091","One"
"Pseudomonas sp. GV105","One"
"Pseudomonas sp. GW247-3R2A","One"
"Pseudomonas sp. GW247-5R2A","One"
"Pseudomonas sp. GW456-L12","One"
"Pseudomonas sp. GW460-E13","One"
"Pseudomonas sp. GW531-E2","One"
"Pseudomonas sp. GW531-T4","One"
"Pseudomonas sp. GW704-F5","One"
"Pseudomonas sp. H9","One"
"Pseudomonas sp. HMWF021","One"
"Pseudomonas sp. ICMP 8385","One"
"Pseudomonas sp. In5","One"
"Pseudomonas sp. J237","One"
"Pseudomonas sp. LAM1902","One"
"Pseudomonas sp. LBUM920","One"
"Pseudomonas sp. Leaf434","One"
"Pseudomonas sp. Leaf58","One"
"Pseudomonas sp. Leaf83","One"
"Pseudomonas sp. LPH1","One"
"Pseudomonas sp. MF4836","One"
"Pseudomonas sp. MPBD4-3","One"
"Pseudomonas sp. MPR-ANC1","One"
"Pseudomonas sp. MPR-AND1B","One"
"Pseudomonas sp. MPR-R1B","One"
"Pseudomonas sp. MPR-R3B","One"
"Pseudomonas sp. MWU12-2115","One"
"Pseudomonas sp. MWU13-2625","One"
"Pseudomonas sp. MYb115","One"
"Pseudomonas sp. MYb187","One"
"Pseudomonas sp. MYb193","One"
"Pseudomonas sp. NDM","One"
"Pseudomonas sp. NFACC19-2","One"
"Pseudomonas sp. NFACC39-1","One"
"Pseudomonas sp. NFACC45","One"
"Pseudomonas sp. NFACC50-1","One"
"Pseudomonas sp. NFACC52","One"
"Pseudomonas sp. NFACC56-3","One"
"Pseudomonas sp. NFIX28","One"
"Pseudomonas sp. NFIX46","One"
"Pseudomonas sp. NFIX49","One"
"Pseudomonas sp. NFPP33","One"
"Pseudomonas sp. o96-267","One"
"Pseudomonas sp. OV081","One"
"Pseudomonas sp. OV221","One"
"Pseudomonas sp. OV226","One"
"Pseudomonas sp. OV397","One"
"Pseudomonas sp. OV467","One"
"Pseudomonas sp. OV657","One"
"Pseudomonas sp. PICF141","One"
"Pseudomonas sp. R1-43-08","One"
"Pseudomonas sp. R11-23-07","One"
"Pseudomonas sp. R2-37-08W","One"
"Pseudomonas sp. R2-60-08W","One"
"Pseudomonas sp. R2-7-07","One"
"Pseudomonas sp. R2A2","One"
"Pseudomonas sp. R3-18-08","One"
"Pseudomonas sp. R3-52-08","One"
"Pseudomonas sp. R4-34-07","One"
"Pseudomonas sp. R4-35-07","One"
"Pseudomonas sp. R4-39-08","One"
"Pseudomonas sp. R5-89-07","One"
"Pseudomonas sp. RIT-PI-a","One"
"Pseudomonas sp. RIT-PI-o","One"
"Pseudomonas sp. RIT 409","One"
"Pseudomonas sp. RIT 412","One"
"Pseudomonas sp. RIT288","One"
"Pseudomonas sp. RIT623","One"
"Pseudomonas sp. Root401","One"
"Pseudomonas sp. RW409","One"
"Pseudomonas sp. S-6-2","One"
"Pseudomonas sp. S09G 359","One"
"Pseudomonas sp. S150","One"
"Pseudomonas sp. s211(2017)","One"
"Pseudomonas sp. SCT","One"
"Pseudomonas sp. St29","One"
"Pseudomonas sp. SWI36","One"
"Pseudomonas sp. UW4","One"
"Pseudomonas sp. W15Feb9B","One"
"Pseudomonas sp. WP001","One"
"Pseudomonas sp. WPR_5_2","One"
"Pseudomonas sp. YY-1","One"
"Pseudomonas synxantha","One"
"Pseudomonas thivervalensis","One"
"Pseudomonas toyotomiensis","One"
"Pseudomonas umsongensis","One"
"Pseudomonas vancouverensis","One"
"Pseudomonas veronii","One"
"Pseudomonas yamanorum","One"
"Pseudomonas abietaniphila","None"
"Pseudomonas aeruginosa BL04","None"
"Pseudomonas aeruginosa BL25","None"
"Pseudomonas aeruginosa BWHPSA020","None"
"Pseudomonas aeruginosa BWHPSA020","None"
"Pseudomonas aeruginosa BWHPSA020","None"
"Pseudomonas aestus","None"
"Pseudomonas alcaligenes NBRC 14159","None"
"Pseudomonas alcaligenes NBRC 14159","None"
"Pseudomonas alcaligenes NBRC 14159","None"
"Pseudomonas alcaligenes NBRC 14159","None"
"Pseudomonas alcaligenes OT 69","None"
"Pseudomonas alcaligenes OT 69","None"
"Pseudomonas alcaligenes OT 69","None"
"Pseudomonas alcaligenes OT 69","None"
"Pseudomonas alcaligenes","None"
"Pseudomonas alcaliphila JAB1","None"
"Pseudomonas alcaliphila JAB1","None"
"Pseudomonas arsenicoxydans","None"
"Pseudomonas asplenii","None"
"Pseudomonas asplenii","None"
"Pseudomonas baetica","None"
"Pseudomonas benzenivorans","None"
"Pseudomonas borbori","None"
"Pseudomonas borbori","None"
"Pseudomonas borbori","None"
"Pseudomonas brassicacearum subsp. brassicacearum NFM421","None"
"Pseudomonas brassicacearum","None"
"Pseudomonas brenneri","None"
"Pseudomonas capeferrum","None"
"Pseudomonas chengduensis","None"
"Pseudomonas chengduensis","None"
"Pseudomonas chlororaphis O6","None"
"Pseudomonas chlororaphis subsp. aurantiaca PB-St2","None"
"Pseudomonas chlororaphis subsp. aurantiaca","None"
"Pseudomonas chlororaphis subsp. aureofaciens 30-84","None"
"Pseudomonas chlororaphis subsp. aureofaciens","None"
"Pseudomonas chlororaphis subsp. piscium","None"
"Pseudomonas chlororaphis","None"
"Pseudomonas coleopterorum","None"
"Pseudomonas composti","None"
"Pseudomonas composti","None"
"Pseudomonas composti","None"
"Pseudomonas corrugata","None"
"Pseudomonas cuatrocienegasensis","None"
"Pseudomonas cuatrocienegasensis","None"
"Pseudomonas delhiensis","None"
"Pseudomonas entomophila","None"
"Pseudomonas flavescens","None"
"Pseudomonas flavescens","None"
"Pseudomonas flavescens","None"
"Pseudomonas flavescens","None"
"Pseudomonas fluorescens BRIP34879","None"
"Pseudomonas fluorescens F113","None"
"Pseudomonas fluorescens FH5","None"
"Pseudomonas fluorescens Pf0-1","None"
"Pseudomonas fluorescens Pf0-1","None"
"Pseudomonas fluorescens Q2-87","None"
"Pseudomonas fluorescens Q2-87","None"
"Pseudomonas fluorescens Q2-87","None"
"Pseudomonas fluorescens Q2-87","None"
"Pseudomonas fluorescens Q8r1-96","None"
"Pseudomonas fluorescens Q8r1-96","None"
"Pseudomonas fluorescens Q8r1-96","None"
"Pseudomonas fluorescens R124","None"
"Pseudomonas fluorescens","None"
"Pseudomonas fulva 12-X","None"
"Pseudomonas furukawaii","None"
"Pseudomonas furukawaii","None"
"Pseudomonas furukawaii","None"
"Pseudomonas graminis","None"
"Pseudomonas granadensis","None"
"Pseudomonas guguanensis","None"
"Pseudomonas guineae","None"
"Pseudomonas helmanticensis","None"
"Pseudomonas hunanensis","None"
"Pseudomonas indica","None"
"Pseudomonas indica","None"
"Pseudomonas indica","None"
"Pseudomonas indica","None"
"Pseudomonas indoloxydans","None"
"Pseudomonas indoloxydans","None"
"Pseudomonas inefficax","None"
"Pseudomonas inefficax","None"
"Pseudomonas inefficax","None"
"Pseudomonas japonica","None"
"Pseudomonas japonica","None"
"Pseudomonas japonica","None"
"Pseudomonas jessenii","None"
"Pseudomonas jessenii","None"
"Pseudomonas jessenii","None"
"Pseudomonas jinjuensis","None"
"Pseudomonas kairouanensis","None"
"Pseudomonas kilonensis","None"
"Pseudomonas kilonensis","None"
"Pseudomonas knackmussii B13","None"
"Pseudomonas koreensis","None"
"Pseudomonas kribbensis","None"
"Pseudomonas kunmingensis","None"
"Pseudomonas laurylsulfatiphila","None"
"Pseudomonas laurylsulfatiphila","None"
"Pseudomonas laurylsulfatiphila","None"
"Pseudomonas laurylsulfatiphila","None"
"Pseudomonas laurylsulfatiphila","None"
"Pseudomonas laurylsulfatiphila","None"
"Pseudomonas laurylsulfativorans","None"
"Pseudomonas laurylsulfativorans","None"
"Pseudomonas laurylsulfativorans","None"
"Pseudomonas laurylsulfativorans","None"
"Pseudomonas laurylsulfativorans","None"
"Pseudomonas laurylsulfativorans","None"
"Pseudomonas laurylsulfativorans","None"
"Pseudomonas leptonychotis","None"
"Pseudomonas leptonychotis","None"
"Pseudomonas leptonychotis","None"
"Pseudomonas leptonychotis","None"
"Pseudomonas libanensis","None"
"Pseudomonas lini","None"
"Pseudomonas lini","None"
"Pseudomonas linyingensis","None"
"Pseudomonas lutea","None"
"Pseudomonas mandelii JR-1","None"
"Pseudomonas mandelii JR-1","None"
"Pseudomonas mandelii JR-1","None"
"Pseudomonas mandelii PD30","None"
"Pseudomonas mandelii PD30","None"
"Pseudomonas mandelii PD30","None"
"Pseudomonas mandelii","None"
"Pseudomonas mandelii","None"
"Pseudomonas mandelii","None"
"Pseudomonas marginalis pv. marginalis","None"
"Pseudomonas marginalis","None"
"Pseudomonas mediterranea CFBP 5447","None"
"Pseudomonas mediterranea CFBP 5447","None"
"Pseudomonas mediterranea CFBP 5447","None"
"Pseudomonas mediterranea","None"
"Pseudomonas mediterranea","None"
"Pseudomonas mendocina DLHK","None"
"Pseudomonas mendocina DLHK","None"
"Pseudomonas mendocina DLHK","None"
"Pseudomonas mendocina ymp","None"
"Pseudomonas mendocina ymp","None"
"Pseudomonas mendocina ymp","None"
"Pseudomonas migulae","None"
"Pseudomonas migulae","None"
"Pseudomonas migulae","None"
"Pseudomonas mohnii","None"
"Pseudomonas monteilii SB3078","None"
"Pseudomonas monteilii SB3101","None"
"Pseudomonas moraviensis R28-S","None"
"Pseudomonas moraviensis","None"
"Pseudomonas moraviensis","None"
"Pseudomonas oleovorans subsp. oleovorans","None"
"Pseudomonas oleovorans","None"
"Pseudomonas oryzae","None"
"Pseudomonas otitidis","None"
"Pseudomonas paralactis","None"
"Pseudomonas peli","None"
"Pseudomonas pohangensis","None"
"Pseudomonas punonensis","None"
"Pseudomonas putida CSV86","None"
"Pseudomonas putida DOT-T1E","None"
"Pseudomonas putida DOT-T1E","None"
"Pseudomonas putida F1","None"
"Pseudomonas putida GB-1","None"
"Pseudomonas putida HB3267","None"
"Pseudomonas putida KT2440","None"
"Pseudomonas putida LS46","None"
"Pseudomonas putida ND6","None"
"Pseudomonas putida ND6","None"
"Pseudomonas putida S13.1.2","None"
"Pseudomonas putida S610","None"
"Pseudomonas putida SJTE-1","None"
"Pseudomonas putida TRO1","None"
"Pseudomonas putida","None"
"Pseudomonas reidholzensis","None"
"Pseudomonas reinekei","None"
"Pseudomonas resinovorans NBRC 106553","None"
"Pseudomonas resinovorans NBRC 106553","None"
"Pseudomonas resinovorans NBRC 106553","None"
"Pseudomonas resinovorans NBRC 106553","None"
"Pseudomonas resinovorans NBRC 106553","None"
"Pseudomonas resinovorans NBRC 106553","None"
"Pseudomonas resinovorans NBRC 106553","None"
"Pseudomonas rhizosphaerae","None"
"Pseudomonas sagittaria","None"
"Pseudomonas salomonii","None"
"Pseudomonas saponiphila","None"
"Pseudomonas seleniipraecipitans","None"
"Pseudomonas sihuiensis","None"
"Pseudomonas sihuiensis","None"
"Pseudomonas sp. 06C 126","None"
"Pseudomonas sp. 06C 126","None"
"Pseudomonas sp. 09C 129","None"
"Pseudomonas sp. 1-7","None"
"Pseudomonas sp. 10-1B","None"
"Pseudomonas sp. 11K1","None"
"Pseudomonas sp. 11K1","None"
